accuracy_validation,accuracy_train,precision_validation,recall_validation,f1_validation,precision_train,recall_train,f1_train,activation,alpha,hidden_layer_sizes,learning_rate_init
0.668,0.9745649263721553,0.3090909090909091,0.27419354838709675,0.2905982905982906,0.9640718562874252,0.9252873563218391,0.9442815249266863,tanh,0.001,"(20,)",0.001
0.668,0.9370816599732262,0.3090909090909091,0.27419354838709675,0.2905982905982906,0.9568345323741008,0.764367816091954,0.8498402555910544,relu,0.001,"(15,)",0.01
0.764,0.7991967871485943,0.5714285714285714,0.1935483870967742,0.2891566265060241,0.7142857142857143,0.22988505747126436,0.34782608695652173,tanh,10.0,"(15,)",0.001
0.664,0.9759036144578314,0.30357142857142855,0.27419354838709675,0.288135593220339,0.9698795180722891,0.9252873563218391,0.9470588235294117,tanh,0.0001,"(20,)",0.001
0.632,0.9919678714859438,0.2727272727272727,0.2903225806451613,0.28125,0.9883720930232558,0.9770114942528736,0.9826589595375722,tanh,0.0001,"(15,)",0.01
0.644,0.9464524765729585,0.2786885245901639,0.27419354838709675,0.2764227642276423,0.9407894736842105,0.8218390804597702,0.8773006134969326,relu,0.01,"(15,)",0.01
0.744,0.8594377510040161,0.46153846153846156,0.1935483870967742,0.2727272727272727,0.8709677419354839,0.46551724137931033,0.6067415730337079,tanh,1.0,"(15,)",0.01
0.636,0.9919678714859438,0.26229508196721313,0.25806451612903225,0.2601626016260163,0.9941176470588236,0.9712643678160919,0.9825581395348837,tanh,0.0001,"(15, 15)",0.01
0.644,0.9919678714859438,0.2631578947368421,0.24193548387096775,0.25210084033613445,0.9941176470588236,0.9712643678160919,0.9825581395348837,tanh,0.001,"(15, 15)",0.01
0.76,0.7978580990629184,0.5555555555555556,0.16129032258064516,0.25,0.7446808510638298,0.20114942528735633,0.3167420814479638,tanh,10.0,"(15,)",0.01
0.748,0.7991967871485943,0.47619047619047616,0.16129032258064516,0.24096385542168675,0.74,0.21264367816091953,0.33035714285714285,relu,10.0,"(15,)",0.01
